Product Name,Region,Ship Mode,Current Factory,Orders,Units,Sales,Gross_Profit,Cost,Current Lead Time,Scenario Factory,Is_Current,Scenario Lead Time,Profit_Margin,Lead Time Reduction,Lead Time Reduction %,Speed_Score,Profit_Safety_Score,Speed_Normalized,Profit_Normalized,Optimization Score,Confidence_Score,Scenario Confidence,Risk
Everlasting Gobstopper,Gulf,Standard Class,Secret Factory,1,4,40.0,32.0,8.0,5.0,Secret Factory,False,4.0,0.768,1.0,20.0,1.0,0.9411764705882353,1.0,0.9411764705882353,0.9705882352941176,0.9705882352941176,High,Low
Everlasting Gobstopper,Interior,Standard Class,Secret Factory,1,3,30.0,24.0,6.0,5.0,Secret Factory,False,4.0,0.768,1.0,20.0,1.0,0.9411764705882353,1.0,0.9411764705882353,0.9705882352941176,0.9705882352941176,High,Low
Everlasting Gobstopper,Pacific,First Class,Secret Factory,1,6,60.0,48.0,12.0,2.0,Secret Factory,False,1.6,0.768,0.3999999999999999,19.999999999999996,0.9999999999999998,0.9411764705882353,0.9999999999999998,0.9411764705882353,0.9705882352941175,0.9705882352941175,High,Low
Fizzy Lifting Drinks,Atlantic,First Class,Secret Factory,1,4,15.0,9.0,6.0,2.0,Secret Factory,False,1.6,0.576,0.3999999999999999,19.999999999999996,0.9999999999999998,0.7058823529411764,0.9999999999999998,0.7058823529411764,0.8529411764705881,0.8529411764705881,High,Low
Fizzy Lifting Drinks,Atlantic,Standard Class,Secret Factory,1,5,18.75,11.25,7.5,5.0,Secret Factory,False,4.0,0.576,1.0,20.0,1.0,0.7058823529411764,1.0,0.7058823529411764,0.8529411764705882,0.8529411764705882,High,Low
Fizzy Lifting Drinks,Gulf,Standard Class,Secret Factory,1,4,15.0,9.0,6.0,5.0,Secret Factory,False,4.0,0.576,1.0,20.0,1.0,0.7058823529411764,1.0,0.7058823529411764,0.8529411764705882,0.8529411764705882,High,Low
Fizzy Lifting Drinks,Interior,First Class,Secret Factory,1,2,7.5,4.5,3.0,2.0,Secret Factory,False,1.6,0.576,0.3999999999999999,19.999999999999996,0.9999999999999998,0.7058823529411764,0.9999999999999998,0.7058823529411764,0.8529411764705881,0.8529411764705881,High,Low
Fizzy Lifting Drinks,Interior,Standard Class,Secret Factory,1,3,11.25,6.75,4.5,5.0,Secret Factory,False,4.0,0.576,1.0,20.0,1.0,0.7058823529411764,1.0,0.7058823529411764,0.8529411764705882,0.8529411764705882,High,Low
Fizzy Lifting Drinks,Pacific,Standard Class,Secret Factory,1,3,11.25,6.75,4.5,5.0,Secret Factory,False,4.0,0.576,1.0,20.0,1.0,0.7058823529411764,1.0,0.7058823529411764,0.8529411764705882,0.8529411764705882,High,Low
Fun Dip,Atlantic,Standard Class,Secret Factory,1,4,6.0,2.4,3.6,5.0,Secret Factory,False,4.0,0.38399999999999995,1.0,20.0,1.0,0.47058823529411753,1.0,0.47058823529411753,0.7352941176470588,0.7352941176470588,Medium,Medium
Fun Dip,Gulf,Second Class,Secret Factory,1,1,1.5,0.6,0.9,3.0,Secret Factory,False,2.4000000000000004,0.38399999999999995,0.5999999999999996,19.999999999999986,0.9999999999999993,0.47058823529411753,0.9999999999999993,0.47058823529411753,0.7352941176470584,0.7352941176470584,Medium,Medium
Fun Dip,Interior,Second Class,Secret Factory,1,3,4.5,1.8,2.7,3.0,Secret Factory,False,2.4000000000000004,0.384,0.5999999999999996,19.999999999999986,0.9999999999999993,0.47058823529411764,0.9999999999999993,0.47058823529411764,0.7352941176470584,0.7352941176470584,Medium,Medium
Hair Toffee,Atlantic,Standard Class,Secret Factory,1,5,22.5,17.5,5.0,5.0,Secret Factory,False,4.0,0.7466666666666667,1.0,20.0,1.0,0.9150326797385621,1.0,0.9150326797385621,0.957516339869281,0.957516339869281,High,Low
Hair Toffee,Gulf,Same Day,Secret Factory,1,2,9.0,7.0,2.0,1.0,Secret Factory,False,0.8,0.7466666666666667,0.19999999999999996,19.999999999999996,0.9999999999999998,0.9150326797385621,0.9999999999999998,0.9150326797385621,0.957516339869281,0.957516339869281,High,Low
Hair Toffee,Pacific,First Class,Secret Factory,1,5,22.5,17.5,5.0,2.0,Secret Factory,False,1.6,0.7466666666666667,0.3999999999999999,19.999999999999996,0.9999999999999998,0.9150326797385621,0.9999999999999998,0.9150326797385621,0.957516339869281,0.957516339869281,High,Low
Hair Toffee,Pacific,Standard Class,Secret Factory,1,5,22.5,17.5,5.0,5.0,Secret Factory,False,4.0,0.7466666666666667,1.0,20.0,1.0,0.9150326797385621,1.0,0.9150326797385621,0.957516339869281,0.957516339869281,High,Low
Kazookles,Atlantic,First Class,Secret Factory,5,24,78.0,6.0,72.0,2.0,Secret Factory,False,1.6,0.07384615384615385,0.3999999999999999,19.999999999999996,0.9999999999999998,0.09049773755656108,0.9999999999999998,0.09049773755656108,0.5452488687782804,0.5452488687782804,Medium,Medium
Kazookles,Atlantic,Same Day,Secret Factory,2,6,19.5,1.5,18.0,1.0,Secret Factory,False,0.8,0.07384615384615385,0.19999999999999996,19.999999999999996,0.9999999999999998,0.09049773755656108,0.9999999999999998,0.09049773755656108,0.5452488687782804,0.5452488687782804,Medium,Medium
Kazookles,Atlantic,Second Class,Secret Factory,8,34,110.5,8.5,102.0,3.0,Secret Factory,False,2.4000000000000004,0.07384615384615385,0.5999999999999996,19.999999999999986,0.9999999999999993,0.09049773755656108,0.9999999999999993,0.09049773755656108,0.5452488687782802,0.5452488687782802,Medium,Medium
Kazookles,Atlantic,Standard Class,Secret Factory,21,85,276.25,21.25,255.0,5.0,Secret Factory,False,4.0,0.07384615384615385,1.0,20.0,1.0,0.09049773755656108,1.0,0.09049773755656108,0.5452488687782805,0.5452488687782805,Medium,Medium
Kazookles,Gulf,First Class,Secret Factory,4,13,42.25,3.25,39.0,2.0,Secret Factory,False,1.6,0.07384615384615385,0.3999999999999999,19.999999999999996,0.9999999999999998,0.09049773755656108,0.9999999999999998,0.09049773755656108,0.5452488687782804,0.5452488687782804,Medium,Medium
Kazookles,Gulf,Same Day,Secret Factory,2,9,29.25,2.25,27.0,1.0,Secret Factory,False,0.8,0.07384615384615385,0.19999999999999996,19.999999999999996,0.9999999999999998,0.09049773755656108,0.9999999999999998,0.09049773755656108,0.5452488687782804,0.5452488687782804,Medium,Medium
Kazookles,Gulf,Second Class,Secret Factory,3,8,26.0,2.0,24.0,3.0,Secret Factory,False,2.4000000000000004,0.07384615384615385,0.5999999999999996,19.999999999999986,0.9999999999999993,0.09049773755656108,0.9999999999999993,0.09049773755656108,0.5452488687782802,0.5452488687782802,Medium,Medium
